user_id,tweet
1331327371501318146,"Si es verdad que @SilvestreFDC va a sacar el CD, que por lo menos me dejé descansar este fin de semana 🥴"
1331327371006369792,La diferencia de un café Arábiga y Robusta.... En #Medellín en el barrio la Sierra producimos Arábiga con notas cít… 
1331327369366409221,"Estas imágenes corresponden al parque Palmas del Río, en la calle 99 con Cra 59B, sector Riomar. @obermudezb en Alt… "
1331327353524531200,Ha sido un año de mucho aprendizaje!
1331327332045496331,@JhonJai66247105 @ElRepublicano09 @MirandaBogota Mierda en la cabeza tienen los católicos como usted. Van a misa a… 
1331327294758146048,@ELTIEMPO @Bogota @ClaudiaLopez Jajajaja más influyentes del mundo😂
1331327219990482945,Aumento el número de positivos por Covid-19 en @Equidadfutbol... De 2 pasó a 4 los jugadores afectadosAsí que el… 
1331327206258302978,"Acaba de publicar una foto en Bogotá, Colombia "
1331327199690039308,"@LoboEstepariioo Todo puede mejorar, terminar con la vida nunca debe ser la salida."
1331327197722914818,@mijuliii @Marygarciamusic Amor pegajoso pero sabroso 🤤
1331327174578728963,"@marcorubio Señor,desde Colombia le digo que con este trino ratifica la razón de su admiración a Uribe y a Trump.Ob… "
1331327156111208449,No entiendo cual es la necesidad de salir arreglándose el pelo en toda las historias 😬
1331327145365344256,El compinche no trae nada bueno.
1331327111555059713,Hay fútbol vuelve Neymar JR
1331327102512209921,@aureliogj @EnriquePenalosa Entonces tocará usar tan sólo patines y patinetas???
1331327098913480705,@sandrita2484 Gracias 🙏🙏
1331327090118025224,Cómo es que es? El que la hace la paga? O el que la hace le dan embajadas? 
1331327077312851968,Chelsea y Sevilla fueron los primeros clasificados para octavos
1331327043443814402,"Es mi mamá y la amo, pero el que no la conozca que la compre... Pa que vea cómo se encarta 🙄"
1331327041480880128,"- Vamos lento, ok? - Ok - Mi mamá te mando estas 2 arepas"
1331327040319074315,"Necesito esa chaqueta o la camisa del Barća de visitante, es muy hermosaaaaaaa :( me la voy a autorregalar de navidad"
1331327017623678978,las palabras sangran.
1331327001278500865,"@EnaLCabrales Y un filósofo importante dijo...que el futuro estaba en los ""influencher""...."
1331326999374213120,"@jhonalejo75 @ANIABELLO_R Venga, ayudo un poquito, este es el programa de ADIDAS! Qué esperanzas! "
1331326992038453251,Imagínate que te coma rico pero también te sepa querer.
1331326985465962501,O mi oído ya perdió la costumbre de escuchar hablar al paisa o en realidad este man si habla muy arrastrado..Parez… 
1331326960522420226,A algunos les tengo fe.. A otros si nada de nada 🤦🏻‍♂️🤦🏻‍♂️ 
1331326959884890119,Recomendaciones mías @AndresIvanMora3 @DanielOMoralesB @nelsonr2002co @semillaymemoria @marcopollo65 @Ipachong… 
1331326956282007552,@elReneJimenez El único Barbosa que conozco es el de piratas del caribe🤭🤣
1331326953736048642,Tu familia te rompe más que cualquier cosa.
1331326942071681024,"El primer selca day en el que participo, jijijiji me gustó mucho esa foto uwu ❤🎉🤗Es suficiente decirte que lo est… "
1331326929715286022,Hay días malos y días muy malos.
1331326929056706562,No mintió 
1331326907095412745,Tiendo a estar de acuerdo 
1331326902372536322,@rcnradio @CeDemocratico Los maestros de FECODE son los pioneros de la violencia en Colombia son quiénes tienen la… 
1331326896957747204,Yo por las mañanas..😂🤣👇 
1331326888019628032,@CarlosAndresEA En este tiempo no
1331326886576844802,Hoy he sido esperancita todo el santo día pero qué satisfacción saber que salgo de la cositas pendientes
1331326867941502977,@JhonJai66247105 @ElRepublicano09 @MirandaBogota Como se atornillan en el poder. Poniendo presidente  y poniendo al… 
1331326850354860035,@SVargasOK @Globe_Soccer Vicente Del Bosque.
1331326836526227457,Link de conexión:  https://t.co/cNWWtCLzsL
1331326833296613392,"@JoelYumar Es que folklore no es pop, esta en la categoría que no le corresponde."
1331326811813392384,"Eeehh, vuelve y me toca un papel de malo, ahora el personaje se llama Fabio, que ironía. Ahora es un Fabio malo."
1331326810005626882,"@PocoEnfurecida Con cariño digo esto: LO MISMO PENSÁBAMOS DEL HP DE DUQUE y miré con lo que nos salió, el perro men… "
1331326759812403205,Mal nacido infeliz... 
1331326756918337538,Estoy impresionado como la mente nos puede afectar tanto.
1331326745006514178,"ATENCIÓNEntren la ropa, repito entren la ropa...!!!! "
1331326731970555905,"Estilo y términos acordes/tu perfil, q te ha merecido respeto/fervor de nos tu seguidores, sin q necesariamente ten… "
1331326719404412928,No lo puedo creer mk!🤯🤯🤯🤯🤯😤😤😤😤😤 
1331326699649314816,la camiseta negra del Barça 😍
1331326692854558738,Quizá todo seguía igual y no me daba cuenta.
1331326659627261960,"@_Serranoj13 @Nanfild @ClaudiaLopez @IvanDuque @petrogustavo Amigo me puedes pasar la fuente por fa, es pa callar a algunos zurdos de mierda"
1331326652962525185,"Mal nacido, infeliz... "
1331326615561842689,"Nuestros parques son hermosos por su espacio y naturaleza, no por que la alcaldía de #Suba o el @IDRD le den el man… "
1331326607391383555,@Oneirozz .  Por favor por mensaje interno enviarnos un número de teléfono celular para enviártela vía WhatsApp
1331326607387193345,@ivanmarulanda @ClaudiaLopez Que bueno que nos pongamos en los zapatos del otro(a) aunque no sea de mi partido y pe… 
